Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,IMDF_scanner,461.jpg,neutral_638.jpg,2,9999,39,red,TBF_neu,IMDF_scanner,no,,69,9999,69,3,4,TBF,one,149
neg,IMDF_scanner,373.jpg,6210.jpg,2,83,9999,red,TBF_neg,IMDF_scanner,no,,9999,53,53,2,4,TBF,two,150
neu,IMDF_scanner,200.jpg,neutral_198.jpg,2,56,9999,green,TBR_neu,IMDF_scanner,no,,56,9999,26,1,4,TBR,two,151
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,152
neg,IMDF_scanner,382.jpg,6312.jpg,2,86,9999,green,TBR_neg,IMDF_scanner,no,,9999,56,56,2,4,TBR,two,153
neu,IMDF_scanner,49.jpg,neutral_499.jpg,2,9999,43,red,TBF_neu,IMDF_scanner,no,,73,9999,73,3,4,TBF,one,154
neg,IMDF_scanner,409.jpg,9630.jpg,2,90,9999,green,TBR_neg,IMDF_scanner,no,,9999,60,60,2,4,TBR,two,155
neg,IMDF_scanner,884.jpg,Landscapes_002_h.jpg,2,9999,77,green,TBR_neg,IMDF_scanner,no,,9999,77,107,4,4,TBR,two,156
neg,IMDF_scanner,981.jpg,People_133_h.jpg,,9999,93,green,FILLER,IMDF_scanner,yes,last,9999,93,127,5,4,TBR,9999,157
neu,IMDF_scanner,950.jpg,neutral_261.jpg,,91,9999,red,FILLER,IMDF_scanner,yes,last,91,9999,121,5,4,TBF,9999,158
